User_ID,Date,Stock_name,Buy_qty,Stock_cost,Amount,Fixed
user_1,2020-01-06,apple,44,87380.45220365007,3844739.896960603,False
user_1,2020-01-13,samsung,1,60000.0,60000.0,False
user_1,2020-01-14,apple,-12,-90203.48288009013,-1082441.7945610816,False
user_1,2020-01-26,samsung,-1,-60800.0,-60800.0,False
user_1,2020-02-12,samsung,31,60500.0,1875500.0,False
user_1,2020-03-03,apple,47,85948.29687413006,4039569.9530841126,False
user_1,2020-03-05,apple,9,86680.89390546015,780128.0451491413,False
user_1,2020-03-09,apple,-55,-79032.52755251735,-4346789.015388454,False
user_1,2020-03-10,apple,22,85599.14261797504,1883181.137595451,False
user_1,2020-03-12,samsung,43,50800.0,2184400.0,False
user_1,2020-03-15,apple,-29,-84083.8382097175,-2438431.3080818076,False
user_1,2020-03-22,apple,18,72031.79434343001,1296572.29818174,False
user_1,2020-03-25,apple,-44,-75411.46775547997,-3318104.5812411187,False
user_1,2020-04-07,samsung,4,49600.0,198400.0,False
user_1,2020-04-11,samsung,11,49250.0,541750.0,False
user_1,2020-04-12,samsung,11,49250.0,541750.0,False
user_1,2020-04-20,samsung,11,50100.0,551100.0,False
user_1,2020-05-04,apple,50,89690.83954919003,4484541.9774595015,False
user_1,2020-05-07,samsung,-69,-48800.0,-3367200.0,False
user_1,2020-05-12,samsung,-29,-47900.0,-1389100.0,False
user_1,2020-05-18,samsung,-6,-48800.0,-292800.0,False
user_1,2020-05-30,samsung,43,50700.0,2180100.0,False
user_1,2020-06-04,apple,29,97970.7736803199,2841152.436729277,False
user_1,2020-06-08,apple,-78,-100130.53149730504,-7810181.456789793,False
user_1,2020-06-19,apple,36,105909.20348855002,3812731.3255878007,False
user_1,2020-06-20,apple,-30,-105909.20348855002,-3177276.1046565007,False
user_1,2020-06-23,apple,-5,-110692.06,-553460.3,False
user_1,2020-08-04,samsung,35,57300.0,2005500.0,False
user_1,2020-08-19,apple,-2,-136956.02348469244,-273912.0469693849,False
user_1,2020-08-29,samsung,37,55400.0,2049800.0,False
user_1,2020-09-15,samsung,27,61000.0,1647000.0,False
user_1,2020-09-16,samsung,43,61000.0,2623000.0,False
user_1,2020-09-17,apple,14,129326.19315336022,1810566.7041470432,False
user_1,2020-09-22,samsung,1,58200.0,58200.0,False
user_1,2020-10-01,samsung,21,58200.0,1222200.0,False
user_1,2020-10-09,apple,48,134557.60859581,6458765.212598879,False
user_1,2020-10-10,apple,34,134557.60859581,4574958.692257539,False
user_1,2020-11-01,samsung,-96,-56600.0,-5433600.0,False
user_1,2020-11-03,samsung,-95,-58800.0,-5586000.0,False
user_1,2020-11-06,samsung,-16,-60100.0,-961600.0,False
user_1,2020-11-07,samsung,-4,-60100.0,-240400.0,False
user_1,2020-11-12,samsung,31,61000.0,1891000.0,False
user_1,2020-11-17,apple,11,132056.07993465004,1452616.8792811504,False
user_1,2020-12-07,samsung,-9,-72900.0,-656100.0,False
user_1,2020-12-17,samsung,25,73300.0,1832500.0,False
user_1,2020-12-19,samsung,-35,-73000.0,-2555000.0,False
user_1,2021-01-27,samsung,-10,-85600.0,-856000.0,False
user_1,2021-03-01,samsung,33,82500.0,2722500.0,False
user_1,2021-03-02,samsung,34,83600.0,2842400.0,False
